type,id,ntags,tagkey,tagvalue
node,321699839,0,,
node,321699840,0,,
node,321699841,0,,
node,321699842,0,,
node,321699843,0,,
node,321699844,0,,
node,321699845,0,,
node,321699846,0,,
node,321699847,0,,
node,321699848,0,,
node,321699849,0,,
node,321699850,0,,
node,321699851,0,,
node,321699852,0,,
node,321699853,0,,
node,321699854,0,,
node,321699855,0,,
node,321699856,0,,
node,321699857,0,,
node,321699858,0,,
node,321699859,0,,
node,321699860,0,,
node,321699861,0,,
node,321699862,0,,
node,321699863,0,,
node,321699864,0,,
node,321699865,0,,
node,321699866,0,,
node,321699867,0,,
node,321699868,0,,
node,321699869,0,,
node,321699870,0,,
node,321699871,0,,
node,321699872,0,,
node,321699873,0,,
node,321699874,0,,
node,321699875,0,,
node,321699876,0,,
node,321699877,0,,
node,321699878,0,,
node,321699879,0,,
node,321699880,0,,
node,321699881,0,,
node,321699882,0,,
node,321699902,0,,
node,321699903,0,,
node,321699905,0,,
node,321699906,0,,
node,321699914,0,,
node,321699915,0,,
node,321699974,0,,
node,321699975,0,,
node,321699976,0,,
node,321699977,0,,
node,321699978,0,,
node,321699979,0,,
node,321699980,0,,
node,321699981,0,,
node,321699982,0,,
node,321699983,0,,
node,321699985,0,,
node,321699986,0,,
node,321699987,0,,
node,321700028,0,,
node,321700093,0,,
node,321700094,0,,
node,321700096,0,,
node,321700099,0,,
node,321700100,0,,
node,321700103,0,,
node,321700105,0,,
node,321700106,0,,
node,321700123,0,,
node,321700595,2,access,no
node,321700595,2,barrier,gate
node,321700596,0,,
node,321700656,0,,
node,321700657,0,,
node,321700658,0,,
node,321700939,0,,
node,321700940,0,,
node,321700941,0,,
node,321700968,0,,
node,321700969,0,,
node,321700970,0,,
node,321700971,0,,
node,321700972,0,,
node,321700973,0,,
node,321700974,0,,
node,321700975,0,,
node,321700976,0,,
node,321700985,0,,
node,321701000,0,,
node,321701021,0,,
node,321701022,0,,
node,321701033,0,,
node,321701050,0,,
node,321701051,0,,
node,321701052,0,,
node,321701067,0,,
node,321701068,0,,
node,321701077,0,,
node,321701078,0,,
node,321701188,0,,
node,321701189,0,,
node,321701190,0,,
node,321701191,0,,
node,321701192,0,,
node,321701193,0,,
node,321701207,0,,
node,321701208,0,,
node,321701210,0,,
node,321701228,0,,
node,321701230,0,,
node,321701231,1,noexit,yes
node,321701236,0,,
node,321702009,0,,
node,321702042,0,,
node,321702043,0,,
node,321702044,0,,
node,321702045,0,,
node,321702261,0,,
node,321702294,0,,
node,321702295,0,,
node,321702296,0,,
node,321702297,0,,
node,321702298,0,,
node,321702301,0,,
node,321702304,0,,
node,321702305,0,,
node,321702306,0,,
node,321702307,0,,
node,321702314,0,,
node,321702365,0,,
node,321702367,1,highway,crossing
node,321702379,0,,
node,321702433,0,,
node,321702435,0,,
node,321702436,0,,
node,321702437,0,,
node,321702439,0,,
node,321702440,0,,
node,321702441,0,,
node,321702442,0,,
node,321702443,0,,
node,321702458,0,,
node,321702539,0,,
node,321702542,0,,
node,321702543,0,,
node,321702544,0,,
node,321702545,0,,
node,321702548,0,,
node,321702549,0,,
node,321702563,0,,
node,321702565,0,,
node,321702581,0,,
node,321702582,0,,
node,321702583,0,,
node,321702584,0,,
node,321703475,0,,
node,321703525,2,access,no
node,321703525,2,barrier,gate
node,321703689,0,,
node,321703690,0,,
node,321703694,0,,
node,321703697,0,,
node,321703715,0,,
node,321703742,0,,
node,321703746,0,,
node,321703747,0,,
node,321703748,0,,
node,321703749,0,,
node,321703750,0,,
node,321703751,0,,
node,321703752,0,,
node,321703753,0,,
node,321703754,0,,
node,321703755,0,,
node,321703782,0,,
node,321703783,0,,
node,321703784,0,,
node,321703785,0,,
node,321703828,0,,
node,321703832,1,amenity,parking
node,321703833,0,,
node,321703835,0,,
node,321703836,0,,
node,321703837,0,,
node,321703838,0,,
node,321703839,0,,
node,321703840,0,,
node,321703841,0,,
node,321703842,1,amenity,parking
node,321703850,1,amenity,parking
node,321703852,1,amenity,parking
node,321703853,0,,
node,321703855,0,,
node,321703857,0,,
node,321703858,0,,
node,321703860,0,,
node,321703861,0,,
node,321703863,0,,
node,321703869,0,,
node,321703870,0,,
node,321703871,1,amenity,parking
node,321703873,0,,
node,321704025,1,amenity,parking
node,321704026,0,,
node,321704039,1,amenity,parking
node,321704040,1,amenity,parking
node,321704105,1,amenity,parking
node,321704106,0,,
node,321704107,0,,
node,321704108,0,,
node,321704109,0,,
node,321704110,0,,
node,321704164,0,,
node,321704220,0,,
node,321704221,0,,
node,321704222,0,,
node,321704223,1,amenity,parking
node,321704249,0,,
node,321704250,0,,
node,321704251,0,,
node,321704252,0,,
node,321704346,0,,
node,321704431,0,,
node,321704433,0,,
node,321704452,0,,
node,321704453,1,amenity,parking
node,321704486,0,,
node,321704489,0,,
node,321704490,1,amenity,parking
node,321704497,1,amenity,parking
node,321704498,0,,
node,321704507,0,,
node,321704508,0,,
node,321704509,0,,
node,321704517,0,,
node,321704518,0,,
node,321704519,0,,
node,321704520,0,,
node,321704521,0,,
node,321704522,0,,
node,321704547,1,amenity,parking
node,321704550,0,,
node,321704551,0,,
node,321704553,0,,
node,321704554,0,,
node,321704607,0,,
node,321711860,1,amenity,parking
node,321712009,0,,
node,321712010,0,,
node,321712011,0,,
node,321712012,0,,
node,321712095,0,,
node,321712096,0,,
node,321712097,0,,
node,321712098,0,,
node,321712275,0,,
node,321712276,0,,
node,321712277,0,,
node,321712279,0,,
node,321712403,0,,
node,321712404,0,,
node,321712405,0,,
node,321712406,0,,
node,321712407,0,,
node,321712408,0,,
node,321712409,0,,
node,321712410,0,,
node,321712411,0,,
node,321712412,0,,
node,321712413,0,,
node,321712414,0,,
node,321712415,0,,
node,321712416,0,,
node,321712417,0,,
node,321712418,0,,
node,321712419,0,,
node,321712420,0,,
node,321712421,0,,
node,321712422,0,,
node,321712423,0,,
node,321712424,0,,
node,321712425,0,,
node,338420904,0,,
node,338420905,0,,
node,338420906,0,,
node,338420907,0,,
node,338420908,0,,
node,338420909,0,,
node,338420910,0,,
node,338420911,0,,
node,338420912,0,,
node,338420913,0,,
node,338420914,0,,
node,338420915,0,,
node,338420916,0,,
node,338420917,0,,
node,338420918,0,,
node,338420919,0,,
node,338420920,0,,
node,338420921,0,,
node,338420922,0,,
node,338420923,0,,
node,338420926,0,,
node,338420929,0,,
node,338420931,0,,
node,338420932,0,,
node,338420933,0,,
node,338420934,0,,
node,338420935,0,,
node,338420936,0,,
node,338420937,0,,
node,338420938,0,,
node,338420940,0,,
node,338420942,0,,
node,338420948,0,,
node,338420950,0,,
node,338420953,0,,
node,338420954,0,,
node,338420956,0,,
node,338420958,0,,
node,338420960,0,,
node,338420962,0,,
node,338420963,0,,
node,338420965,0,,
node,338420967,0,,
node,338420970,0,,
node,338420974,0,,
node,338420977,0,,
node,338420980,0,,
node,338420984,0,,
node,338420988,0,,
node,338420990,0,,
node,338420993,0,,
node,338420995,0,,
node,338420998,0,,
node,338421002,0,,
node,338421063,0,,
node,338421066,0,,
node,338421068,0,,
node,338421071,0,,
node,338421075,0,,
node,338421078,0,,
node,338421080,0,,
node,338421083,0,,
node,338421086,0,,
node,338421089,0,,
node,338421091,0,,
node,338421094,0,,
node,338421097,0,,
node,338421099,0,,
node,338421102,0,,
node,338421105,0,,
node,338421115,0,,
node,338421116,0,,
node,338421117,0,,
node,338421118,0,,
node,338421119,0,,
node,338421120,0,,
node,338421121,0,,
node,338421123,0,,
node,338421124,0,,
node,338421125,0,,
node,338421126,0,,
node,338421127,0,,
node,338421136,0,,
node,338421137,0,,
node,338421138,0,,
node,338421139,0,,
node,338421140,0,,
