type,id,ntags,tagkey,tagvalue,lat,lon
node,32476409,0,,,14.6475309,121.0528325
node,32476418,0,,,14.6507217,121.0559032
node,32476419,0,,,14.6485782,121.0544623
node,32476423,0,,,14.6485202,121.0536635
node,32519675,0,,,14.6493953,121.0743208
node,32520021,0,,,14.6493474,121.0744384
node,32520022,1,['highway'],['traffic_signals'],14.6483104,121.0745061
node,32520023,0,,,14.6463667,121.0744833
node,32520024,0,,,14.6434364,121.0748205
node,33451921,0,,,14.652948,121.0519464
node,33452212,0,,,14.6651789,121.0701416
node,33452214,0,,,14.6630088,121.0668512
node,33452220,0,,,14.6540218,121.0532265
node,33452311,0,,,14.6552044,121.0557188
node,33625122,0,,,14.6594274,121.0704743
node,34018420,0,,,14.6468707,121.0803325
node,34018422,0,,,14.6471225,121.0812067
node,34018446,0,,,14.6462262,121.0755558
node,34018453,0,,,14.6463542,121.0755497
node,34018454,0,,,14.6470577,121.0755727
node,34018455,0,,,14.647256,121.075633
node,34018456,0,,,14.6474222,121.0757096
node,34018457,0,,,14.6492131,121.0775972
node,34018458,0,,,14.6504053,121.078815
node,34018554,0,,,14.6508599,121.0793036
node,34018555,0,,,14.6515683,121.0801267
node,34018707,0,,,14.6475063,121.07448
node,34019341,0,,,14.6535283,121.0750088
node,34019342,0,,,14.6535205,121.0752676
node,34019343,0,,,14.6534343,121.0759669
node,34019344,0,,,14.6531523,121.0767505
node,34019533,0,,,14.6539612,121.0763817
node,34019535,0,,,14.655356,121.0778737
node,34019536,0,,,14.6556228,121.0782947
node,34019537,0,,,14.6556574,121.0784522
node,34019538,0,,,14.655516,121.0788246
node,34019539,0,,,14.6554691,121.0790685
node,34019540,0,,,14.655377,121.0792024
node,34019541,0,,,14.6549024,121.0793093
node,34019637,0,,,14.6598221,121.0763695
node,34019638,0,,,14.6600016,121.0766257
node,34019911,0,,,14.6581678,121.0802695
node,34019927,0,,,14.6503251,121.0772966
node,34019929,0,,,14.6506371,121.0768748
node,34019931,0,,,14.6507962,121.0765599
node,34019932,0,,,14.6508188,121.0765313
node,34019933,0,,,14.6508492,121.0765187
node,34019935,0,,,14.652154,121.0764217
node,34019936,0,,,14.6521964,121.0764465
node,34019937,0,,,14.6523271,121.0766007
node,34019939,0,,,14.6526272,121.0769323
node,34019940,0,,,14.6530047,121.0763307
node,34019941,0,,,14.652944,121.0764638
node,34019942,0,,,14.6528471,121.0766631
node,34019943,0,,,14.6527246,121.0768254
node,34019946,0,,,14.6522702,121.0773716
node,34019953,1,['highway'],['traffic_signals'],14.6425411,121.0747834
node,34019958,0,,,14.6429007,121.0747946
node,34019973,0,,,14.6593955,121.076137
node,34020004,0,,,14.644187,121.0747585
node,34128519,0,,,14.6631383,121.0741988
node,35458507,0,,,14.6610906,121.036678
node,39660892,0,,,14.6505877,121.0478795
node,39660894,0,,,14.6507541,121.0477767
node,39660897,0,,,14.651117,121.0477334
node,39660899,0,,,14.6513174,121.0477862
node,39660901,0,,,14.6514313,121.048025
node,39660904,0,,,14.6513851,121.0488861
node,39660907,0,,,14.6511345,121.0490435
node,39660908,0,,,14.6503968,121.048762
node,39660911,0,,,14.6502393,121.0486331
node,39660914,0,,,14.6502061,121.0484825
node,39660916,0,,,14.6502593,121.0482652
node,39660919,0,,,14.6503689,121.0480592
node,60090423,0,,,14.6376846,121.0710634
node,60090424,0,,,14.6372381,121.0712697
node,60090425,0,,,14.6370056,121.0713469
node,60090426,0,,,14.6367233,121.0714585
node,60090427,0,,,14.6364741,121.0716301
node,60090428,0,,,14.6363911,121.0716387
node,60090429,0,,,14.6362084,121.0715872
node,60090430,0,,,14.6360257,121.071613
node,60090431,0,,,14.6359177,121.0718276
node,60090432,0,,,14.6354613,121.0718963
node,60090433,0,,,14.6354129,121.0718778
node,60090434,0,,,14.6353806,121.0718234
node,60090435,0,,,14.6352869,121.0716744
node,60090436,0,,,14.6344383,121.0713133
node,60090437,0,,,14.6342047,121.0710263
node,60090438,0,,,14.6339919,121.0707359
node,60090440,0,,,14.6333107,121.0699502
node,60090441,0,,,14.6331913,121.0698046
node,84508848,0,,,14.6569728,121.0456596
node,84508962,0,,,14.6578727,121.0452357
node,84509345,0,,,14.6587541,121.0449175
node,84509474,0,,,14.6597579,121.044632
node,84509606,0,,,14.662939,121.0439136
node,84509786,0,,,14.6596024,121.0436231
node,84509871,0,,,14.6602413,121.0405817
node,88782905,0,,,14.6522565,121.0459963
node,88785678,0,,,14.6489008,121.0484422
node,88785759,0,,,14.648702,121.0488847
node,90027566,0,,,14.6629668,121.0440159
node,90027595,0,,,14.6597721,121.0447393
